Gap,Rotation,freq (GHz)Freq,VSWR,S11dB,S21dB,S11,S21
2.8,70,3.065,6.522751002,-2.684424482,-3.670645613,-0.5387249282934097-0.4987351144196772i,0.3631773520327829-0.5455041599602892i
2.8,70,3.07,6.54347227,-2.675788376,-3.680616294,-0.5447381352032572-0.49324885950124625i,0.35636714058048957-0.5490812069675916i
2.8,70,3.075,6.564146199,-2.667227632,-3.690560728,-0.5506843784200147-0.48769493038111117i,0.3495349294571834-0.5525694699806043i
2.8,70,3.08,6.584780225,-2.658738281,-3.700483101,-0.5565637706996408-0.48207379654214944i,0.3426808194762909-0.5559693566226585i
2.8,70,3.085,6.605382132,-2.650316305,-3.710387647,-0.5623764283873731-0.47638589380429597i,0.3358048867238984-0.5592812391191171i
2.8,70,3.09,6.62596004,-2.641957642,-3.720278644,-0.5681224695605147-0.4706316241918982i,0.32890718477971775-0.5625054532692101i
2.8,70,3.095,6.646522392,-2.633658198,-3.730160418,-0.5738020121584011-0.4648113558944268i,0.3219877469786879-0.5656422975390233i
2.8,70,3.1,6.667077942,-2.62541385,-3.740037336,-0.5794151721043932-0.45892542332160907i,0.3150465887064842-0.5686920322771994i
2.8,70,3.105,6.687635741,-2.617220451,-3.749913805,-0.5849620614248212-0.4529741272537941i,0.30808370972215443-0.5716548790545091i
2.8,70,3.11,6.708205132,-2.609073839,-3.759794271,-0.5904427863698661-0.44695773508808884i,0.3010990965010682-0.5745310201280712i
2.8,70,3.115,6.72879573,-2.600969843,-3.769683213,-0.5958574455414221-0.44087648118052164i,0.29409272459136754-0.5773205980305905i
2.8,70,3.12,6.749417417,-2.592904284,-3.779585138,-0.6012061280330134-0.4347305672842092i,0.28706456097712274-0.5800237152845975i
2.8,70,3.125,6.770080331,-2.584872987,-3.789504582,-0.6064889115868525-0.42852016308321944i,0.2800145664414403-0.5826404342412902i
2.8,70,3.13,6.790794854,-2.576871779,-3.799446098,-0.6117058607731337-0.4222454068215338i,0.2729426979228424-0.5851707770431785i
2.8,70,3.135,6.811571604,-2.568896499,-3.809414255,-0.6168570251966351-0.4159064060262261i,0.2658489108583188-0.587614725709382i
2.8,70,3.14,6.832421429,-2.560943,-3.819413631,-0.6219424377356598-0.4095032383236894i,0.25873316150657466-0.5899722223420384i
2.8,70,3.145,6.853355395,-2.553007153,-3.829448807,-0.6269621128183139-0.4030359523474492i,0.25159540924512336-0.5922431694519359i
2.8,70,3.15,6.874384784,-2.545084852,-3.839524357,-0.6319160447410249-0.3965045687358287i,0.24443561883503134-0.5944274304011374i
2.8,70,3.155,6.895521084,-2.537172015,-3.849644846,-0.6368042060341376-0.38990908121744083i,0.2372537626473008-0.5965248299600121i
2.8,70,3.16,6.916775988,-2.529264588,-3.859814819,-0.6416265458793126-0.38324945778221314i,0.23004982284505834-0.5985351549758016i
2.8,70,3.165,6.938161388,-2.521358549,-3.870038791,-0.6463829885833244-0.3765256419353786i,0.2228237935159443-0.6004581551494974i
2.8,70,3.17,6.959689371,-2.513449909,-3.880321246,-0.6510734321127398-0.36973755403160585i,0.21557568274931316-0.6022935439175569i
2.8,70,3.175,6.981372224,-2.505534713,-3.890666617,-0.6556977466937784-0.36288509268618296i,0.20830551465310365-0.6040409994346815i
2.8,70,3.18,7.003222424,-2.497609046,-3.901079289,-0.6602557734815137-0.35596813625992624i,0.20101333130549784-0.6057001656536392i
2.8,70,3.185,7.025252649,-2.489669026,-3.911563581,-0.6647473233023661-0.3489865444142502i,0.19369919463675506-0.6072706534978645i
2.8,70,3.19,7.047475773,-2.481710814,-3.922123738,-0.6691721754736627-0.34194015973260483i,0.18636318823689144-0.6087520421223548i
2.8,70,3.195,7.069904873,-2.473730609,-3.932763923,-0.6735300767038139-0.334828809404281i,0.17900541908517123-0.6101438802581804i
2.8,70,3.2,7.092553233,-2.465724648,-3.943488208,-0.6778207400764348-0.32765230696637726i,0.17162601919767353-0.6114456876357385i
2.8,70,3.205,7.115434353,-2.45768921,-3.954300557,-0.6820438441215086-0.320410454099537i,0.1642251471895121-0.612656956481723i
2.8,70,3.21,7.138561953,-2.44962061,-3.965204822,-0.6861990319764363-0.313103042472895i,0.15680298974860102-0.6137771530846529i
2.8,70,3.215,7.161949984,-2.441515205,-3.976204731,-0.6902859106395635-0.3057298556335109i,0.14935976301818019-0.6148057194236561i
2.8,70,3.22,7.185612643,-2.433369385,-3.987303873,-0.6943040503185033-0.29829067093542694i,0.14189571388563776-0.6157420748551258i
2.8,70,3.225,7.209564379,-2.425179577,-3.998505693,-0.6982529838753057-0.2907852615033633i,0.13441112117549672-0.616585617851788i
2.8,70,3.23,7.233819913,-2.416942243,-4.009813473,-0.7021322063702373-0.2832133982259541i,0.12690629674475776-0.6173357277886447i
2.8,70,3.235,7.258394249,-2.408653875,-4.02123033,-0.70594117470565-0.2755748517733344i,0.11938158647911803-0.6179917667702326i
2.8,70,3.24,7.283302698,-2.400310996,-4.032759196,-0.7096793073711215-0.26786939463381637i,0.11183737118891338-0.618553081493614i
2.8,70,3.245,7.308560892,-2.391910155,-4.044402812,-0.7133459842907565-0.2600968031643381i,0.10427406740394951-0.6190190051415151i
2.8,70,3.25,7.334184806,-2.383447926,-4.056163714,-0.7169405467732382-0.2522568596493254i,0.09669212806671056-0.6193888593000477i
2.8,70,3.255,7.359249689,-2.375228406,-4.068159717,-0.7204305671118758-0.2443590568331898i,0.08912065330763698-0.6196494318852678i
2.8,70,3.26,7.384220006,-2.367096422,-4.080067146,-0.723819629527853-0.23643468561722475i,0.08157995467751385-0.619822203599222i
2.8,70,3.265,7.409097907,-2.359050059,-4.091890308,-0.7271081878358321-0.22848445526787253i,0.07407008191778065-0.6199079936715194i
2.8,70,3.27,7.433886095,-2.351087267,-4.103633556,-0.7302966991023971-0.2205090389269996i,0.06659105769564627-0.6199075856573937i
2.8,70,3.275,7.458587823,-2.343205868,-4.115301289,-0.7333856218384397-0.2125090735928228i,0.05914287976338636-0.6198217263951273i
2.8,70,3.28,7.483206877,-2.335403562,-4.126897958,-0.7363754141842348-0.20448516018784021i,0.051725523162920506-0.6196511250790694i
2.8,70,3.285,7.507747566,-2.327677941,-4.138428068,-0.7392665320915349-0.19643786371463404i,0.04433894246931118-0.619396452450411i
2.8,70,3.29,7.532214711,-2.320026489,-4.149896177,-0.7420594275071031-0.18836771350017237i,0.036983074066714264-0.6190583401075302i
2.8,70,3.295,7.556613629,-2.312446598,-4.161306907,-0.744754546562137-0.18027520352901308i,0.02965783845022024-0.6186373799373209i
2.8,70,3.3,7.580950123,-2.304935567,-4.172664934,-0.7473523277721272-0.17216079286556502i,0.022363142546959286-0.6181341236685426i
2.8,70,3.305,7.605230466,-2.297490615,-4.183975002,-0.7498532002516907-0.16402490616532578i,0.015098882049801145-0.6175490825478557i
2.8,70,3.31,7.629461384,-2.290108889,-4.195241912,-0.7522575819489641-0.15586793427476164i,0.007864943756962253-0.6168827271387974i
2.8,70,3.315,7.653650048,-2.282787465,-4.206470531,-0.7545658779041415-0.1476902349192487i,6.612079108379488E-4-0.6161354872435786i
2.8,70,3.32,7.67780405,-2.275523362,-4.21766579,-0.7567784785367396-0.1394921334782402i,-0.0065124494705916395-0.6153077519472054i
2.8,70,3.325,7.701931396,-2.268313544,-4.228832679,-0.7588957579661406-0.13127392384657383i,-0.013656154276380953-0.6143998697830158i
2.8,70,3.33,7.726040486,-2.26115493,-4.239976253,-0.7609180723699349-0.12303586938057627i,-0.020770032005784596-0.6134121490183867i
