rot (deg),freq (GHz),abs(emw.S11)^2 (1)
0,3,0.961243325
0,3.020408163,0.958186346
0,3.040816327,0.955008927
0,3.06122449,0.951578263
0,3.081632653,0.947741748
0,3.102040816,0.943325608
0,3.12244898,0.938134511
0,3.142857143,0.931691947
0,3.163265306,0.924997735
0,3.183673469,0.917754007
0,3.204081633,0.909475873
0,3.224489796,0.899593404
0,3.244897959,0.887449936
0,3.265306122,0.87102359
0,3.285714286,0.85367045
0,3.306122449,0.835012554
0,3.326530612,0.81329975
0,3.346938776,0.78632
0,3.367346939,0.75153005
0,3.387755102,0.70254717
0,3.408163265,0.649114388
0,3.428571429,0.594333782
0,3.448979592,0.535237684
0,3.469387755,0.468663631
0,3.489795918,0.396054355
0,3.510204082,0.331395929
0,3.530612245,0.295239727
0,3.551020408,0.290198534
0,3.571428571,0.319250964
0,3.591836735,0.371998395
0,3.612244898,0.437431415
0,3.632653061,0.509952213
0,3.653061224,0.575094338
0,3.673469388,0.632263176
0,3.693877551,0.68401701
0,3.714285714,0.725839652
0,3.734693878,0.760296786
0,3.755102041,0.79034272
0,3.775510204,0.814588925
0,3.795918367,0.834574858
0,3.816326531,0.85201468
0,3.836734694,0.866388232
0,3.857142857,0.87840662
0,3.87755102,0.889023033
0,3.897959184,0.898164994
0,3.918367347,0.905653394
0,3.93877551,0.911936435
0,3.959183673,0.917411658
0,3.979591837,0.922425588
0,4,0.927276569
10,3,0.952164321
10,3.020408163,0.948173455
10,3.040816327,0.944111373
10,3.06122449,0.939767043
10,3.081632653,0.934905607
10,3.102040816,0.929268973
10,3.12244898,0.922578511
10,3.142857143,0.914128034
10,3.163265306,0.905499902
10,3.183673469,0.896274882
10,3.204081633,0.885745372
10,3.224489796,0.873081695
10,3.244897959,0.857343582
10,3.265306122,0.835875313
10,3.285714286,0.813394893
10,3.306122449,0.789444685
10,3.326530612,0.761662049
10,3.346938776,0.726997508
10,3.367346939,0.681943455
10,3.387755102,0.618454686
10,3.408163265,0.549771806
10,3.428571429,0.480694669
10,3.448979592,0.407930464
10,3.469387755,0.327344416
10,3.489795918,0.242774171
10,3.510204082,0.174165034
10,3.530612245,0.143916447
10,3.551020408,0.153226604
10,3.571428571,0.2026856
10,3.591836735,0.275505383
10,3.612244898,0.358631036
10,3.632653061,0.44730272
10,3.653061224,0.524437907
10,3.673469388,0.590970269
10,3.693877551,0.650631084
10,3.714285714,0.698478372
10,3.734693878,0.737714885
10,3.755102041,0.771954259
10,3.775510204,0.799505696
10,3.795918367,0.822179489
10,3.816326531,0.842044244
10,3.836734694,0.858397022
10,3.857142857,0.872059699
10,3.87755102,0.884198931
10,3.897959184,0.89468034
10,3.918367347,0.903226032
10,3.93877551,0.910379324
10,3.959183673,0.916631475
10,3.979591837,0.922416165
10,4,0.928109665
20,3,0.944972225
20,3.020408163,0.940350273
20,3.040816327,0.935626095
20,3.06122449,0.930565363
20,3.081632653,0.924904208
20,3.102040816,0.918349427
20,3.12244898,0.910581496
20,3.142857143,0.90087447
20,3.163265306,0.890876305
20,3.183673469,0.880134189
20,3.204081633,0.867876147
20,3.224489796,0.853176858
20,3.244897959,0.834969012
20,3.265306122,0.81073641
20,3.285714286,0.78496412
20,3.306122449,0.757127541
20,3.326530612,0.724807495
20,3.346938776,0.684763196
20,3.367346939,0.633162888
20,3.387755102,0.563816525
20,3.408163265,0.488459659
20,3.428571429,0.410273259
20,3.448979592,0.327076416
20,3.469387755,0.237826942
20,3.489795918,0.148628864
20,3.510204082,0.081389217
20,3.530612245,0.057711305
20,3.551020408,0.077828069
20,3.571428571,0.140301076
20,3.591836735,0.225814348
20,3.612244898,0.320160658
20,3.632653061,0.416947988
20,3.653061224,0.501125994
20,3.673469388,0.573289833
20,3.693877551,0.637195123
20,3.714285714,0.688566701
20,3.734693878,0.730664468
20,3.755102041,0.767577024
20,3.775510204,0.797936957
20,3.795918367,0.821626362
20,3.816326531,0.84079145
20,3.836734694,0.857238744
20,3.857142857,0.872394481
20,3.87755102,0.887022659
20,3.897959184,0.898212881
20,3.918367347,0.907355663
20,3.93877551,0.915025805
20,3.959183673,0.921736125
20,3.979591837,0.927932558
20,4,0.933996071
30,3,0.940267194
30,3.020408163,0.93524046
30,3.040816327,0.930086852
30,3.06122449,0.924559436
30,3.081632653,0.918377515
30,3.102040816,0.911226416
30,3.12244898,0.902760667
30,3.142857143,0.892254485
30,3.163265306,0.881369484
30,3.183673469,0.869635294
30,3.204081633,0.856245217
30,3.224489796,0.840216856
30,3.244897959,0.820402564
30,3.265306122,0.7944215
30,3.285714286,0.766528742
30,3.306122449,0.736142901
30,3.326530612,0.700835455
30,3.346938776,0.657280746
30,3.367346939,0.60148423
30,3.387755102,0.527932185
30,3.408163265,0.447991769
30,3.428571429,0.364717956
30,3.448979592,0.276790724
30,3.469387755,0.184625078
30,3.489795918,0.096244112
30,3.510204082,0.033261587
30,3.530612245,0.021259655
30,3.551020408,0.054704553
30,3.571428571,0.120437355
30,3.591836735,0.208871943
30,3.612244898,0.313370025
30,3.632653061,0.422668236
30,3.653061224,0.512002646
30,3.673469388,0.583018595
30,3.693877551,0.64064118
30,3.714285714,0.689981195
30,3.734693878,0.734823581
30,3.755102041,0.775889705
30,3.775510204,0.806309508
30,3.795918367,0.83008322
30,3.816326531,0.849345272
30,3.836734694,0.865859795
30,3.857142857,0.880995698
30,3.87755102,0.895488488
30,3.897959184,0.906679188
30,3.918367347,0.915832135
30,3.93877551,0.923519356
30,3.959183673,0.930246785
30,3.979591837,0.936450168
30,4,0.942498284
40,3,0.937742968
40,3.020408163,0.932487177
40,3.040816327,0.927088457
40,3.06122449,0.921293141
40,3.081632653,0.91481111
40,3.102040816,0.907315244
40,3.12244898,0.89844466
40,3.142857143,0.887476805
40,3.163265306,0.876073365
40,3.183673469,0.863754515
40,3.204081633,0.849694567
40,3.224489796,0.832878298
40,3.244897959,0.812110735
40,3.265306122,0.785086781
40,3.285714286,0.755932908
40,3.306122449,0.724033599
40,3.326530612,0.68695783
40,3.346938776,0.641344243
40,3.367346939,0.583137372
40,3.387755102,0.507223714
40,3.408163265,0.424899945
40,3.428571429,0.339278611
40,3.448979592,0.249671444
40,3.469387755,0.157526724
40,3.489795918,0.072153298
40,3.510204082,0.016097175
40,3.530612245,0.012463635
40,3.551020408,0.053521144
40,3.571428571,0.125279011
40,3.591836735,0.217709019
40,3.612244898,0.323969153
40,3.632653061,0.433289286
40,3.653061224,0.522242779
40,3.673469388,0.592811602
40,3.693877551,0.650016481
40,3.714285714,0.698853689
40,3.734693878,0.742979824
40,3.755102041,0.783199027
40,3.775510204,0.813207498
40,3.795918367,0.836699396
40,3.816326531,0.855760848
40,3.836734694,0.872102073
40,3.857142857,0.887040565
40,3.87755102,0.901287482
40,3.897959184,0.912350812
40,3.918367347,0.921410517
40,3.93877551,0.929028023
40,3.959183673,0.935697864
40,3.979591837,0.941844045
40,4,0.947823859
50,3,0.937383169
50,3.020408163,0.932067138
50,3.040816327,0.926607707
50,3.06122449,0.920746092
50,3.081632653,0.914186006
50,3.102040816,0.906593057
50,3.12244898,0.897598054
50,3.142857143,0.886457177
50,3.163265306,0.874873958
50,3.183673469,0.862357985
50,3.204081633,0.848062189
50,3.224489796,0.830942883
50,3.244897959,0.809769973
50,3.265306122,0.78217668
50,3.285714286,0.752387402
50,3.306122449,0.719777523
50,3.326530612,0.681855026
50,3.346938776,0.635165805
50,3.367346939,0.575553324
50,3.387755102,0.497889174
50,3.408163265,0.41388934
50,3.428571429,0.326941038
50,3.448979592,0.236689808
50,3.469387755,0.145188863
50,3.489795918,0.062729162
50,3.510204082,0.01262703
50,3.530612245,0.016047346
50,3.551020408,0.06312874
50,3.571428571,0.138944934
50,3.591836735,0.233358018
50,3.612244898,0.339775388
50,3.632653061,0.447850224
50,3.653061224,0.535006988
50,3.673469388,0.603838116
50,3.693877551,0.659490121
50,3.714285714,0.706938134
50,3.734693878,0.74979629
50,3.755102041,0.788870358
50,3.775510204,0.818009873
50,3.795918367,0.840833481
50,3.816326531,0.859362215
50,3.836734694,0.875254728
50,3.857142857,0.889792218
50,3.87755102,0.903668247
50,3.897959184,0.914447242
50,3.918367347,0.923280585
50,3.93877551,0.930712308
50,3.959183673,0.937222482
50,3.979591837,0.94322366
50,4,0.94906442
60,3,0.939984309
60,3.020408163,0.934913091
60,3.040816327,0.929720868
60,3.06122449,0.924154631
60,3.081632653,0.917928188
60,3.102040816,0.910722005
60,3.12244898,0.902186405
60,3.142857143,0.891567202
60,3.163265306,0.880589071
60,3.183673469,0.868768892
60,3.204081633,0.855280964
60,3.224489796,0.839126414
60,3.244897959,0.81914496
60,3.265306122,0.792905876
60,3.285714286,0.764775721
60,3.306122449,0.734174118
60,3.326530612,0.698635152
60,3.346938776,0.654797504
60,3.367346939,0.598653539
60,3.387755102,0.524761393
60,3.408163265,0.444571387
60,3.428571429,0.361175858
60,3.448979592,0.273323543
60,3.469387755,0.181558592
60,3.489795918,0.094071284
60,3.510204082,0.032359954
60,3.530612245,0.021372077
60,3.551020408,0.055409459
60,3.571428571,0.121316649
60,3.591836735,0.209582977
60,3.612244898,0.313647091
60,3.632653061,0.422413937
60,3.653061224,0.511430842
60,3.673469388,0.582230617
60,3.693877551,0.639716618
60,3.714285714,0.688992002
60,3.734693878,0.733837442
60,3.755102041,0.774959179
60,3.775510204,0.805436975
60,3.795918367,0.829256892
60,3.816326531,0.848556883
60,3.836734694,0.865115882
60,3.857142857,0.880323129
60,3.87755102,0.894925511
60,3.897959184,0.906179661
60,3.918367347,0.915384345
60,3.93877551,0.923114778
60,3.959183673,0.929882751
60,3.979591837,0.936131971
60,4,0.942240649
70,3,0.945327603
70,3.020408163,0.940713623
70,3.040816327,0.936007717
70,3.06122449,0.930970701
70,3.081632653,0.925334963
70,3.102040816,0.918805012
70,3.12244898,0.91106058
70,3.142857143,0.901376014
70,3.163265306,0.891411209
70,3.183673469,0.880708421
70,3.204081633,0.86849191
70,3.224489796,0.853835416
