rot (deg),freq (GHz),S11 (1)
0,3,0.22894263580852342-0.9533250204616059*i
0,3.020408163,0.19600739831351224-0.9590450696757288*i
0,3.040816327,0.1628934562038512-0.9635738940960661*i
0,3.06122449,0.12950146135229584-0.9668545054605983*i
0,3.081632653,0.09573424373324753-0.9688016839139099*i
0,3.102040816,0.061501884766701424-0.9693003280403324*i
0,3.12244898,0.026727467772798254-0.9682046030512541*i
0,3.142857143,-0.008686480731788316-0.9652028244334487*i
0,3.163265306,-0.043924264219748224-0.9607644840551204*i
0,3.183673469,-0.0791145745917402-0.954722415524712*i
0,3.204081633,-0.11442305744290104-0.9467751777662878*i
0,3.224489796,-0.1499607543994168-0.936538934923903*i
0,3.244897959,-0.18575582731903828-0.9235500574697356*i
0,3.265306122,-0.2218509727623227-0.9065350162441063*i
0,3.285714286,-0.2568270715562066-0.8875304529754582*i
0,3.306122449,-0.29066354214738255-0.8663297637955695*i
0,3.326530612,-0.3233301230796687-0.841877295761663*i
0,3.346938776,-0.35435022882423967-0.812868940933256*i
0,3.367346939,-0.3825998085785282-0.7779122292448176*i
0,3.387755102,-0.4059530757840748-0.7333138959851853*i
0,3.408163265,-0.42201076421669065-0.6863099177019406*i
0,3.428571429,-0.4303868507494634-0.6396099910314481*i
0,3.448979592,-0.4294255035743102-0.5923102407623929*i
0,3.469387755,-0.414769752423443-0.5446372035413911*i
0,3.489795918,-0.3803662353041513-0.5013739946599907*i
0,3.510204082,-0.32761030687656884-0.4733575982572661*i
0,3.530612245,-0.27348905454980876-0.4695140719842655*i
0,3.551020408,-0.22376067115042864-0.49003030080017096*i
0,3.571428571,-0.18629477526405958-0.5334278028767458*i
0,3.591836735,-0.1729422251803535-0.5848840754386256*i
0,3.612244898,-0.1804784343250602-0.636285273629383*i
0,3.632653061,-0.20473450231920584-0.6841315636615137*i
0,3.653061224,-0.2402571711745731-0.7192849434718194*i
0,3.673469388,-0.2817070127735924-0.7435753725656112*i
0,3.693877551,-0.32655273205907553-0.7598554617655034*i
0,3.714285714,-0.3712554508568553-0.7668174763351213*i
0,3.734693878,-0.4147970116716389-0.7669682031975542*i
0,3.755102041,-0.457336328452288-0.7623556930211354*i
0,3.775510204,-0.49746385866598425-0.7530727947840736*i
0,3.795918367,-0.5353101875755556-0.7402822844203805*i
0,3.816326531,-0.5714678755551851-0.7248718144443267*i
0,3.836734694,-0.6053404723550703-0.7070722346215162*i
0,3.857142857,-0.6371282601796032-0.6873675873807128*i
0,3.87755102,-0.6673435769697567-0.6660897712551115*i
0,3.897959184,-0.6958392140718808-0.6434071665603438*i
0,3.918367347,-0.7223047668764073-0.619620220578841*i
0,3.93877551,-0.7470242808654276-0.5948875179685066*i
0,3.959183673,-0.7702679499622835-0.5692968852446713*i
0,3.979591837,-0.7922819093493143-0.5428765642624597*i
0,4,-0.8132812129568089-0.5156066697251651*i
10,3,0.2045542727556708-0.9541078922821261*i
10,3.020408163,0.17010376437328562-0.9587690881427025*i
10,3.040816327,0.13548897172344218-0.9621611669317105*i
10,3.06122449,0.10056374261147624-0.9641856549126883*i
10,3.081632653,0.06518784560808488-0.9647052149611791*i
10,3.102040816,0.02923446980204048-0.9635425878184903*i
